Partner,Sector,Required,Receive,Quarter,Gap,Reported,Year,NewReceived
ICMC,WASH,357491.6,153697,1- First Quarter,203794.6,Yes,2015,153697
ICSC,EDUCATION,449995,,1- First Quarter,449995,Yes,2015,0
ICSC,PROTECTION,1500000,,1- First Quarter,1500000,Yes,2015,0
ILO,PROTECTION,700000,0,1- First Quarter,700000,Yes,2015,0
IMC,HEALTH,1062003,150000,1- First Quarter,912003,Yes,2015,150000
IMC,PROTECTION,1743401,50000,1- First Quarter,1693401,Yes,2015,50000
Intersos,BASIC NEEDS,777000,0,1- First Quarter,777000,Yes,2015,0
Intersos,EDUCATION,732000,0,1- First Quarter,732000,Yes,2015,0
Intersos,PROTECTION,1783600,1860583,1- First Quarter,-76983,Yes,2015,1860583
Intersos,SHELTER,845000,0,1- First Quarter,845000,Yes,2015,0
IOM,HEALTH,1133606,414935,1- First Quarter,718671,Yes,2015,414935
IOM,PROTECTION,4750000,0,1- First Quarter,4750000,Yes,2015,0
IR,EDUCATION,2276730,448472,1- First Quarter,1828258,Yes,2015,448472
IR,FOOD SECURITY,37836.18,139390,1- First Quarter,-101553.82,Yes,2015,139390
IR,SHELTER,1370233,967393,1- First Quarter,402840,Yes,2015,967393
IRC,BASIC NEEDS,1974564,944463,1- First Quarter,1030101,Yes,2015,944463
IRC,HEALTH,2479230,2863886,1- First Quarter,-384656,Yes,2015,2863886
IRC,PROTECTION,546325,1070610,1- First Quarter,-524285,Yes,2015,1070610
IRD,HEALTH,1008000,316909,1- First Quarter,691091,Yes,2015,316909
IRD,WASH,1190000,0,1- First Quarter,1190000,Yes,2015,0
JEN,BASIC NEEDS,300000,0,1- First Quarter,300000,Yes,2015,0
JEN,EDUCATION,500500,384980,1- First Quarter,115520,Yes,2015,384980
JEN,WASH,653198,890693,1- First Quarter,-237495,Yes,2015,890693
JHAS,BASIC NEEDS,1784640,0,1- First Quarter,1784640,Yes,2015,0
JHAS,HEALTH,1569000,0,1- First Quarter,1569000,Yes,2015,0
JHAS,PROTECTION,1700000,0,1- First Quarter,1700000,Yes,2015,0
JHAS,SHELTER,208000,0,1- First Quarter,208000,Yes,2015,0
KfW,SHELTER,3000000,,1- First Quarter,3000000,Yes,2015,0
KnK,EDUCATION,454400,881352,1- First Quarter,-426952,Yes,2015,881352
LWF,BASIC NEEDS,1300000,362000,1- First Quarter,938000,Yes,2015,362000
LWF,EDUCATION,740000,342000,1- First Quarter,398000,Yes,2015,342000
LWF,PROTECTION,645000,300,1- First Quarter,644700,Yes,2015,300
LWF,SHELTER,800000,0,1- First Quarter,800000,Yes,2015,0
LWF,WASH,15000,26000,1- First Quarter,-11000,Yes,2015,26000
MECI,EDUCATION,169000,0,1- First Quarter,169000,Yes,2015,0
MEDAIR,BASIC NEEDS,1727924,259041,1- First Quarter,1468883,Yes,2015,259041
MEDAIR,HEALTH,660151.3,0,1- First Quarter,660151.3,Yes,2015,0
MEDAIR,PROTECTION,60996,0,1- First Quarter,60996,Yes,2015,0
MEDAIR,SHELTER,2001182,0,1- First Quarter,2001182,Yes,2015,0
Mercy Corps,PROTECTION,4700000,0,1- First Quarter,4700000,Yes,2015,0
Mercy Corps,WASH,5000000,500000,1- First Quarter,4500000,Yes,2015,500000
MPDL,PROTECTION,390000,174186,1- First Quarter,215814,Yes,2015,174186
NEF,BASIC NEEDS,5520000,,1- First Quarter,5520000,Yes,2015,0
NICCOD,BASIC NEEDS,354200,366979,1- First Quarter,-12779,Yes,2015,366979
NICCOD,HEALTH,180600,237752,1- First Quarter,-57152,Yes,2015,237752
NICCOD,PROTECTION,427400,392521,1- First Quarter,34879,Yes,2015,392521
NICCOD,WASH,39100,253612,1- First Quarter,-214512,Yes,2015,253612
NRC,BASIC NEEDS,6000000,1082222,1- First Quarter,4917778,Yes,2015,1082222
NRC,EDUCATION,3819000,3174211,1- First Quarter,644789,Yes,2015,3174211
NRC,PROTECTION,300000,300000,1- First Quarter,0,Yes,2015,300000
NRC,SHELTER,8885400,6859425,1- First Quarter,2025975,Yes,2015,6859425
OXFAM,BASIC NEEDS,3304445,0,1- First Quarter,3304445,Yes,2015,0
OXFAM,EDUCATION,270000,0,1- First Quarter,270000,Yes,2015,0
OXFAM,PROTECTION,534000,121374,1- First Quarter,412626,Yes,2015,121374
OXFAM,WASH,9454656,997750,1- First Quarter,8456906,Yes,2015,997750
PU-AMI,BASIC NEEDS,1072500,270874,1- First Quarter,801626,Yes,2015,270874
PU-AMI,HEALTH,90000,0,1- First Quarter,90000,Yes,2015,0
PU-AMI,PROTECTION,368248,95740,1- First Quarter,272508,Yes,2015,95740
PU-AMI,SHELTER,2028774,172887,1- First Quarter,1855887,Yes,2015,172887
QRC,HEALTH,3360000,857481,1- First Quarter,2502519,Yes,2015,857481
Questcope,EDUCATION,270700,0,1- First Quarter,270700,Yes,2015,0
Questcope,PROTECTION,1230000,49233,1- First Quarter,1180767,Yes,2015,49233
RI,EDUCATION,1000000,0,1- First Quarter,1000000,Yes,2015,0
RI,WASH,1687500,0,1- First Quarter,1687500,Yes,2015,0
SC Jordan,PROTECTION,600276,0,1- First Quarter,600276,Yes,2015,0
SCI,BASIC NEEDS,5940000,2121834,1- First Quarter,3818166,Yes,2015,2121834
SCI,EDUCATION,11413738,8918648,1- First Quarter,2495090,Yes,2015,8918648
SCI,PROTECTION,1198314,334371,1- First Quarter,863943,Yes,2015,334371
TDH,PROTECTION,759915,680173,1- First Quarter,79742,Yes,2015,680173
Un Women,FOOD SECURITY,25000,0,1- First Quarter,25000,Yes,2015,0
Un Women,PROTECTION,1019000,600000,1- First Quarter,419000,Yes,2015,600000
UNESCO,EDUCATION,2350000,0,1- First Quarter,2350000,Yes,2015,0
UNFPA,FOOD SECURITY,28000,0,1- First Quarter,28000,Yes,2015,0
UNFPA,HEALTH,4425230,181895,1- First Quarter,4243335,Yes,2015,181895
UNFPA,PROTECTION,7176620,121263,1- First Quarter,7055357,Yes,2015,121263
UNHCR,BASIC NEEDS,97851431,8989471.95,1- First Quarter,88861959.05,Yes,2015,8989471.95
UNHCR,EDUCATION,3098087,91496.81,1- First Quarter,3006590.19,Yes,2015,91496.81
UNHCR,HEALTH,19566426,4299086.766,1- First Quarter,15267339.23,Yes,2015,4299086.766
UNHCR,PROTECTION,62920689,5530193.313,1- First Quarter,57390495.69,Yes,2015,5530193.313
UNHCR,SHELTER,95162239,2860249.705,1- First Quarter,92301989.3,Yes,2015,2860249.705
UNHCR,WASH,10196998,301151.2392,1- First Quarter,9895846.764,Yes,2015,301151.2392
UNICEF,BASIC NEEDS,31500000,6547279,1- First Quarter,24952721,Yes,2015,6547279
UNICEF,EDUCATION,42354500,5200154,1- First Quarter,37154346,Yes,2015,5200154
UNICEF,HEALTH,6710000,958084,1- First Quarter,5751916,Yes,2015,958084
UNICEF,PROTECTION,20045232,656542,1- First Quarter,19388690,Yes,2015,656542
UNICEF,WASH,43350000,19568218,1- First Quarter,23781782,Yes,2015,19568218
UNOPS,PROTECTION,2000000,1400000,1- First Quarter,600000,Yes,2015,1400000
UPP,PROTECTION,374910,0,1- First Quarter,374910,Yes,2015,0
WarChild UK,EDUCATION,645000,110000,1- First Quarter,535000,Yes,2015,110000
WarChild UK,PROTECTION,814100,0,1- First Quarter,814100,Yes,2015,0
WFP,FOOD SECURITY,232471740,36820149,1- First Quarter,195651591,Yes,2015,36820149
WHO,HEALTH,1200000,0,1- First Quarter,1200000,Yes,2015,0
WVI,BASIC NEEDS,820000,0,1- First Quarter,820000,Yes,2015,0
WVI,EDUCATION,1950000,539917,1- First Quarter,1410083,Yes,2015,539917
WVI,FOOD SECURITY,799996,308845,1- First Quarter,491151,Yes,2015,308845
WVI,PROTECTION,400600,0,1- First Quarter,400600,Yes,2015,0
WVI,WASH,1310000,0,1- First Quarter,1310000,Yes,2015,0
ACF,BASIC NEEDS,3872600,249366,2- Second Quarter,3623234,Yes,2015,0
ACF,PROTECTION,571600,0,2- Second Quarter,571600,Yes,2015,0
ACF,WASH,0,98814,2- Second Quarter,-98814,Yes,2015,0
ACTED,EDUCATION,225000,0,2- Second Quarter,225000,Yes,2015,0
ACTED,FOOD SECURITY,235900,433800,2- Second Quarter,-197900,Yes,2015,433800
ACTED,PROTECTION,1325500,0,2- Second Quarter,1325500,Yes,2015,0
ACTED,SHELTER,1050000,0,2- Second Quarter,1050000,Yes,2015,0
ACTED,WASH,3761000,1200000,2- Second Quarter,2561000,Yes,2015,1200000
ActionAid,BASIC NEEDS,600280,245624,2- Second Quarter,354656,Yes,2015,0
ActionAid,EDUCATION,269200,71566,2- Second Quarter,197634,Yes,2015,0
ActionAid,PROTECTION,1157350,141163,2- Second Quarter,1016187,Yes,2015,0
APS,PROTECTION,154420,183540,2- Second Quarter,-29120,Yes,2015,183540
AVSI,BASIC NEEDS,790000,31920,2- Second Quarter,758080,Yes,2015,31920
AVSI,EDUCATION,207500,161311,2- Second Quarter,46189,Yes,2015,110011
CARE,BASIC NEEDS,1081976,2193670,2- Second Quarter,-1111694,Yes,2015,193670
CARE,PROTECTION,3020240,4403730,2- Second Quarter,-1383490,Yes,2015,3603730
Caritas,BASIC NEEDS,5845690,2318555,2- Second Quarter,3527135,Yes,2015,811741
Caritas,EDUCATION,3334634.97,1849196,2- Second Quarter,1485438.97,Yes,2015,1167185
Caritas,FOOD SECURITY,1355932,1036017,2- Second Quarter,319915,Yes,2015,851695
Caritas,HEALTH,3846200,1476582,2- Second Quarter,2369618,Yes,2015,1476582
Caritas,PROTECTION,138330.94,152238,2- Second Quarter,-13907.06,Yes,2015,111966
Caritas,SHELTER,2699680,1496677,2- Second Quarter,1203003,Yes,2015,700000
Caritas,WASH,532635,241243,2- Second Quarter,291392,Yes,2015,0
CVT,HEALTH,3600000,1966666.667,2- Second Quarter,1633333.333,Yes,2015,0
DRC,EDUCATION,562358,0,2- Second Quarter,562358,Yes,2015,0
DRC,PROTECTION,4462056,680392,2- Second Quarter,3781664,Yes,2015,0
DRC,WASH,230000,0,2- Second Quarter,230000,Yes,2015,0
FAO,FOOD SECURITY,1300000,950000,2- Second Quarter,350000,Yes,2015,0
FCA,EDUCATION,2769760,428250,2- Second Quarter,2341510,Yes,2015,163250
FPSC,EDUCATION,500000,0,2- Second Quarter,500000,Yes,2015,0
FPSC,FOOD SECURITY,150000,0,2- Second Quarter,150000,Yes,2015,0
FPSC,PROTECTION,1664816,898592,2- Second Quarter,766224,Yes,2015,841350
HI,BASIC NEEDS,1494000,994350,2- Second Quarter,499650,Yes,2015,0
HI,HEALTH,3599000,2780679,2- Second Quarter,818321,Yes,2015,978480
HI,PROTECTION,900000,666743,2- Second Quarter,233257,Yes,2015,326160
ICMC,BASIC NEEDS,1191632,373311,2- Second Quarter,818321,Yes,2015,0
ICMC,EDUCATION,195667,15624,2- Second Quarter,180043,Yes,2015,0
ICMC,PROTECTION,510246.1,268384,2- Second Quarter,241862.1,Yes,2015,0
ICMC,SHELTER,506210.7,360882,2- Second Quarter,145328.7,Yes,2015,0
ICMC,WASH,357491.6,153697,2- Second Quarter,203794.6,Yes,2015,0
ICSC,EDUCATION,449995,0,2- Second Quarter,449995,Yes,2015,0
ICSC,PROTECTION,1500000,0,2- Second Quarter,1500000,Yes,2015,0
ILO,PROTECTION,700000,0,2- Second Quarter,700000,Yes,2015,0
IMC,HEALTH,1062003,150000,2- Second Quarter,912003,Yes,2015,0
IMC,PROTECTION,1743401,50000,2- Second Quarter,1693401,Yes,2015,0
Intersos,BASIC NEEDS,777000,0,2- Second Quarter,777000,Yes,2015,0
Intersos,EDUCATION,732000,0,2- Second Quarter,732000,Yes,2015,0
Intersos,PROTECTION,1783600,1860583,2- Second Quarter,-76983,Yes,2015,0
Intersos,SHELTER,845000,0,2- Second Quarter,845000,Yes,2015,0
IOM,HEALTH,1133606,414935,2- Second Quarter,718671,Yes,2015,0
IOM,PROTECTION,4750000,0,2- Second Quarter,4750000,Yes,2015,0
IR,EDUCATION,2276730,816591,2- Second Quarter,1460139,Yes,2015,368119
IR,FOOD SECURITY,37836.18,300723,2- Second Quarter,-262886.82,Yes,2015,161333
IR,SHELTER,1370233,1010149,2- Second Quarter,360084,Yes,2015,42756
IRC,BASIC NEEDS,1974564,1958517,2- Second Quarter,16047,Yes,2015,1014054
IRC,HEALTH,2479230,3452559,2- Second Quarter,-973329,Yes,2015,588673
IRC,PROTECTION,546325,2036343,2- Second Quarter,-1490018,Yes,2015,965733
IRD,HEALTH,1008000,825868,2- Second Quarter,182132,Yes,2015,508959
IRD,WASH,1190000,0,2- Second Quarter,1190000,Yes,2015,0
JEN,BASIC NEEDS,300000,0,2- Second Quarter,300000,Yes,2015,0
JEN,EDUCATION,500500,384980,2- Second Quarter,115520,Yes,2015,0
JEN,WASH,653198,890693,2- Second Quarter,-237495,Yes,2015,0
JHAS,BASIC NEEDS,1784640,0,2- Second Quarter,1784640,Yes,2015,0
JHAS,HEALTH,1569000,0,2- Second Quarter,1569000,Yes,2015,0
JHAS,PROTECTION,1700000,0,2- Second Quarter,1700000,Yes,2015,0
JHAS,SHELTER,208000,0,2- Second Quarter,208000,Yes,2015,0
KfW,SHELTER,3000000,0,2- Second Quarter,3000000,Yes,2015,0
KnK,EDUCATION,454400,881352,2- Second Quarter,-426952,Yes,2015,0
LWF,BASIC NEEDS,1300000,656733,2- Second Quarter,643267,Yes,2015,294733
LWF,EDUCATION,740000,342000,2- Second Quarter,398000,Yes,2015,0
LWF,PROTECTION,645000,201230,2- Second Quarter,443770,Yes,2015,200930
LWF,SHELTER,800000,0,2- Second Quarter,800000,Yes,2015,0
LWF,WASH,15000,26000,2- Second Quarter,-11000,Yes,2015,0
MECI,EDUCATION,169000,0,2- Second Quarter,169000,Yes,2015,0
MEDAIR,BASIC NEEDS,1727924,507341,2- Second Quarter,1220583,Yes,2015,248300
MEDAIR,HEALTH,660151.3,76400,2- Second Quarter,583751.3,Yes,2015,76400
MEDAIR,PROTECTION,60996,0,2- Second Quarter,60996,Yes,2015,0
MEDAIR,SHELTER,2001182,57300,2- Second Quarter,1943882,Yes,2015,57300
Mercy Corps,PROTECTION,4700000,0,2- Second Quarter,4700000,Yes,2015,0
Mercy Corps,WASH,5000000,500000,2- Second Quarter,4500000,Yes,2015,0
MPDL,PROTECTION,390000,174186,2- Second Quarter,215814,Yes,2015,0
NEF,BASIC NEEDS,5520000,0,2- Second Quarter,5520000,Yes,2015,0
NICCOD,BASIC NEEDS,354200,366979,2- Second Quarter,-12779,Yes,2015,0
NICCOD,HEALTH,180600,237752,2- Second Quarter,-57152,Yes,2015,0
NICCOD,PROTECTION,427400,392521,2- Second Quarter,34879,Yes,2015,0
NICCOD,WASH,39100,253612,2- Second Quarter,-214512,Yes,2015,0
NRC,BASIC NEEDS,6000000,1082222,2- Second Quarter,4917778,Yes,2015,0
NRC,EDUCATION,3819000,3174211,2- Second Quarter,644789,Yes,2015,0
NRC,PROTECTION,300000,300000,2- Second Quarter,0,Yes,2015,0
NRC,SHELTER,8885400,7624857,2- Second Quarter,1260543,Yes,2015,765432
OXFAM,BASIC NEEDS,3304445,0,2- Second Quarter,3304445,Yes,2015,0
OXFAM,EDUCATION,270000,0,2- Second Quarter,270000,Yes,2015,0
OXFAM,PROTECTION,534000,259237,2- Second Quarter,274763,Yes,2015,137863
OXFAM,WASH,9454656,1907953,2- Second Quarter,7546703,Yes,2015,910203
PU-AMI,BASIC NEEDS,1072500,270874,2- Second Quarter,801626,Yes,2015,0
PU-AMI,HEALTH,90000,0,2- Second Quarter,90000,Yes,2015,0
PU-AMI,PROTECTION,368248,95740,2- Second Quarter,272508,Yes,2015,0
PU-AMI,SHELTER,2028774,172887,2- Second Quarter,1855887,Yes,2015,0
QRC,HEALTH,3360000,1597518,2- Second Quarter,1762482,Yes,2015,740037
Questcope,EDUCATION,270700,0,2- Second Quarter,270700,Yes,2015,0
Questcope,PROTECTION,1230000,49233,2- Second Quarter,1180767,Yes,2015,0
RI,EDUCATION,1000000,0,2- Second Quarter,1000000,Yes,2015,0
RI,WASH,1687500,0,2- Second Quarter,1687500,Yes,2015,0
SC Jordan,PROTECTION,600276,0,2- Second Quarter,600276,Yes,2015,0
SCI,BASIC NEEDS,5940000,4915149,2- Second Quarter,1024851,Yes,2015,2793315
SCI,EDUCATION,11413738,9642581,2- Second Quarter,1771157,Yes,2015,723933
SCI,PROTECTION,1198314,633950,2- Second Quarter,564364,Yes,2015,299579
TDH,PROTECTION,759915,1360346,2- Second Quarter,-600431,Yes,2015,680173
Un Women,FOOD SECURITY,25000,0,2- Second Quarter,25000,Yes,2015,0
Un Women,PROTECTION,1019000,600000,2- Second Quarter,419000,Yes,2015,0
UNESCO,EDUCATION,2350000,0,2- Second Quarter,2350000,Yes,2015,0
UNFPA,FOOD SECURITY,28000,0,2- Second Quarter,28000,Yes,2015,0
UNFPA,HEALTH,4425230,1221222,2- Second Quarter,3204008,Yes,2015,1039327
UNFPA,PROTECTION,7176620,814148,2- Second Quarter,6362472,Yes,2015,692885
UNHCR,BASIC NEEDS,97851431,21965143.2,2- Second Quarter,75886287.8,Yes,2015,12975671.25
UNHCR,EDUCATION,3098087,412557.4714,2- Second Quarter,2685529.529,Yes,2015,321060.6614
UNHCR,HEALTH,19566426,10101459.15,2- Second Quarter,9464966.85,Yes,2015,5802372.385
UNHCR,PROTECTION,62920689,19150476,2- Second Quarter,43770213,Yes,2015,13620282.68
UNHCR,SHELTER,95162239,7835022.11,2- Second Quarter,87327216.89,Yes,2015,4974772.405
UNHCR,WASH,10196998,722270.2392,2- Second Quarter,9474727.764,Yes,2015,421119
UNICEF,BASIC NEEDS,31500000,11283982,2- Second Quarter,20216018,Yes,2015,4736703
UNICEF,EDUCATION,42354500,12154764,2- Second Quarter,30199736,Yes,2015,6954610
UNICEF,HEALTH,6710000,2094926,2- Second Quarter,4615074,Yes,2015,1136842
UNICEF,PROTECTION,20045232,8262871,2- Second Quarter,11782361,Yes,2015,7606329
UNICEF,WASH,43350000,34860541,2- Second Quarter,8489459,Yes,2015,15292323
UNOPS,PROTECTION,2000000,1400000,2- Second Quarter,600000,Yes,2015,0
UPP,PROTECTION,374910,0,2- Second Quarter,374910,Yes,2015,0
WarChild UK,EDUCATION,645000,150000,2- Second Quarter,495000,Yes,2015,40000
WarChild UK,PROTECTION,814100,7000,2- Second Quarter,807100,Yes,2015,7000
WFP,FOOD SECURITY,232471740,77564710,2- Second Quarter,154907030,Yes,2015,40744561
WHO,HEALTH,1200000,0,2- Second Quarter,1200000,Yes,2015,0
WVI,BASIC NEEDS,820000,773132,2- Second Quarter,46868,Yes,2015,773132
WVI,EDUCATION,1950000,3144078,2- Second Quarter,-1194078,Yes,2015,2604161
WVI,FOOD SECURITY,799996,308845,2- Second Quarter,491151,Yes,2015,0
WVI,PROTECTION,400600,0,2- Second Quarter,400600,Yes,2015,0
WVI,WASH,1310000,1445329,2- Second Quarter,-135329,Yes,2015,1445329
ACF,BASIC NEEDS,3872600,807148,3- Third Quarter,3065452,Yes,2015,557782
ACF,PROTECTION,571600,373562,3- Third Quarter,198038,Yes,2015,373562
ACF,WASH,0,98814,3- Third Quarter,-98814,Yes,2015,0
ACTED,EDUCATION,225000,0,3- Third Quarter,225000,Yes,2015,0
ACTED,FOOD SECURITY,235900,433800,3- Third Quarter,-197900,Yes,2015,0
ACTED,PROTECTION,1325500,0,3- Third Quarter,1325500,Yes,2015,0
ACTED,SHELTER,1050000,0,3- Third Quarter,1050000,Yes,2015,0
ACTED,WASH,3761000,1200000,3- Third Quarter,2561000,Yes,2015,0
ActionAid,BASIC NEEDS,600280,245624,3- Third Quarter,354656,Yes,2015,0
ActionAid,EDUCATION,269200,71566,3- Third Quarter,197634,Yes,2015,0
ActionAid,PROTECTION,1157350,141163,3- Third Quarter,1016187,Yes,2015,0
APS,PROTECTION,154420,183540,3- Third Quarter,-29120,Yes,2015,0
AVSI,BASIC NEEDS,790000,95760,3- Third Quarter,694240,Yes,2015,63840
AVSI,EDUCATION,207500,271322,3- Third Quarter,-63822,Yes,2015,110011
CARE,BASIC NEEDS,1081976,4827394.8,3- Third Quarter,-3745418.8,Yes,2015,2633724.8
CARE,PROTECTION,3020240,5532469.2,3- Third Quarter,-2512229.2,Yes,2015,1128739.2
Caritas,BASIC NEEDS,5845690,2579855,3- Third Quarter,3265835,Yes,2015,261300
Caritas,EDUCATION,3334634.97,1849196,3- Third Quarter,1485438.97,Yes,2015,0
Caritas,FOOD SECURITY,1355932,1459746,3- Third Quarter,-103814,Yes,2015,423729
Caritas,HEALTH,3846200,2967654,3- Third Quarter,878546,Yes,2015,1491072
Caritas,PROTECTION,138330.94,196718,3- Third Quarter,-58387.06,Yes,2015,44480
Caritas,SHELTER,2699680,1655575,3- Third Quarter,1044105,Yes,2015,158898
Caritas,WASH,532635,241243,3- Third Quarter,291392,Yes,2015,0
CVT,HEALTH,3600000,3299999.667,3- Third Quarter,300000.333,Yes,2015,1333333
DRC,EDUCATION,562358,0,3- Third Quarter,562358,Yes,2015,0
DRC,PROTECTION,4462056,3986392,3- Third Quarter,475664,Yes,2015,3306000
DRC,WASH,230000,0,3- Third Quarter,230000,Yes,2015,0
FAO,FOOD SECURITY,1300000,950000,3- Third Quarter,350000,Yes,2015,0
FCA,EDUCATION,2769760,793250,3- Third Quarter,1976510,Yes,2015,365000
FPSC,EDUCATION,500000,0,3- Third Quarter,500000,Yes,2015,0
FPSC,FOOD SECURITY,150000,0,3- Third Quarter,150000,Yes,2015,0
FPSC,PROTECTION,1664816,902242,3- Third Quarter,762574,Yes,2015,3650
HI,BASIC NEEDS,1494000,994350,3- Third Quarter,499650,Yes,2015,0
HI,HEALTH,3599000,3722576,3- Third Quarter,-123576,Yes,2015,941897
HI,PROTECTION,900000,980709,3- Third Quarter,-80709,Yes,2015,313966
ICMC,BASIC NEEDS,1191632,920973,3- Third Quarter,270659,Yes,2015,547662
ICMC,EDUCATION,195667,90023,3- Third Quarter,105644,Yes,2015,74399
ICMC,PROTECTION,510246.1,405502,3- Third Quarter,104744.1,Yes,2015,137118
ICMC,SHELTER,506210.7,609662,3- Third Quarter,-103451.3,Yes,2015,248780
ICMC,WASH,357491.6,260846,3- Third Quarter,96645.6,Yes,2015,107149
ICSC,EDUCATION,449995,0,3- Third Quarter,449995,Yes,2015,0
ICSC,PROTECTION,1500000,0,3- Third Quarter,1500000,Yes,2015,0
ILO,PROTECTION,700000,0,3- Third Quarter,700000,Yes,2015,0
IMC,HEALTH,1062003,150000,3- Third Quarter,912003,Yes,2015,0
IMC,PROTECTION,1743401,50000,3- Third Quarter,1693401,Yes,2015,0
Intersos,BASIC NEEDS,777000,0,3- Third Quarter,777000,Yes,2015,0
Intersos,EDUCATION,732000,0,3- Third Quarter,732000,Yes,2015,0
Intersos,PROTECTION,1783600,1860583,3- Third Quarter,-76983,Yes,2015,0
Intersos,SHELTER,845000,0,3- Third Quarter,845000,Yes,2015,0
IOM,HEALTH,1133606,414935,3- Third Quarter,718671,Yes,2015,0
IOM,PROTECTION,4750000,200000,3- Third Quarter,4550000,Yes,2015,200000
IR,EDUCATION,2276730,907115,3- Third Quarter,1369615,Yes,2015,90524
IR,FOOD SECURITY,37836.18,580667,3- Third Quarter,-542830.82,Yes,2015,279944
IR,SHELTER,1370233,1093453,3- Third Quarter,276780,Yes,2015,83304
IRC,BASIC NEEDS,1974564,2185410,3- Third Quarter,-210846,Yes,2015,226893
IRC,HEALTH,2479230,3577226,3- Third Quarter,-1097996,Yes,2015,124667
IRC,PROTECTION,546325,2253450,3- Third Quarter,-1707125,Yes,2015,217107
IRD,HEALTH,1008000,1070004,3- Third Quarter,-62004,Yes,2015,244136
IRD,WASH,1190000,0,3- Third Quarter,1190000,Yes,2015,0
JEN,BASIC NEEDS,300000,0,3- Third Quarter,300000,Yes,2015,0
JEN,EDUCATION,500500,384980,3- Third Quarter,115520,Yes,2015,0
JEN,WASH,653198,890693,3- Third Quarter,-237495,Yes,2015,0
JHAS,BASIC NEEDS,1784640,0,3- Third Quarter,1784640,Yes,2015,0
JHAS,HEALTH,1569000,0,3- Third Quarter,1569000,Yes,2015,0
JHAS,PROTECTION,1700000,0,3- Third Quarter,1700000,Yes,2015,0
JHAS,SHELTER,208000,0,3- Third Quarter,208000,Yes,2015,0
KfW,SHELTER,3000000,0,3- Third Quarter,3000000,Yes,2015,0
KnK,EDUCATION,454400,881352,3- Third Quarter,-426952,Yes,2015,0
LWF,BASIC NEEDS,1300000,990623,3- Third Quarter,309377,Yes,2015,333890
LWF,EDUCATION,740000,342000,3- Third Quarter,398000,Yes,2015,0
